sqldate,State,sourceurl
20170723,Alaska,http://lgbtweekly.com/2017/07/23/anti-lgbtq-activists-in-anchorage-launch-ballot-measure-assault-on-transgender-people/
20170411,Alaska,http://www.ktvb.com/news/crime/nampa-man-sentenced-to-life-in-prison-for-murder-of-gay-man-at-lake-lowell/430206321
20170126,Alaska,http://www.whio.com/news/national/idaho-man-admits-federal-hate-crime-gay-man-killing/Mw14RqUVUiyADARjab3I7K/
20170126,Alaska,http://www.whio.com/news/national/idaho-man-admits-federal-hate-crime-gay-man-killing/Mw14RqUVUiyADARjab3I7K/
20170411,Alaska,http://www.ktvb.com/news/crime/nampa-man-sentenced-to-life-in-prison-for-murder-of-gay-man-at-lake-lowell/430206321
20170411,Alaska,http://www.ktvb.com/news/crime/nampa-man-sentenced-to-life-in-prison-for-murder-of-gay-man-at-lake-lowell/430206321
20170723,Alaska,http://lgbtweekly.com/2017/07/23/anti-lgbtq-activists-in-anchorage-launch-ballot-measure-assault-on-transgender-people/
20170707,Arizona,http://www.abc15.com/news/crime/pd-transgender-woman-sexually-assaulted-beaten-along-phoenix-canal
20170802,Arizona,https://www.advocate.com/business/2017/8/01/jackd-adds-gps-blurring-feature-protect-gay-americans-hate-crimes
20170726,Arizona,https://www.advocate.com/business/2017/8/01/jackd-adds-gps-blurring-feature-protect-gay-americans-hate-crimes
20170820,Arizona,http://www.azfamily.com/story/36174496/police-investigating-after-transgender-teen-assaulted-at-apartment-pool
20170531,Arizona,http://www.azcentral.com/story/news/local/arizona-breaking/2017/05/30/2-transgender-arizona-inmates-sue-guard-claim-rape/356908001/
20170821,Arizona,http://www.azfamily.com/story/36182325/police-arrest-juvenile-in-attack-on-transgender-18-year-old
20170820,Arizona,http://www.azfamily.com/story/36174496/police-investigating-after-transgender-teen-assaulted-at-apartment-pool
20170821,Arizona,http://www.azfamily.com/story/36182325/police-arrest-juvenile-in-attack-on-transgender-18-year-old
20170820,Arizona,http://www.azfamily.com/story/36174496/police-investigating-after-transgender-teen-assaulted-at-apartment-pool
20170531,Arizona,http://www.azcentral.com/story/news/local/arizona-breaking/2017/05/30/2-transgender-arizona-inmates-sue-guard-claim-rape/356908001/
20170707,Arizona,http://www.abc15.com/news/crime/pd-transgender-woman-sexually-assaulted-beaten-along-phoenix-canal
20170822,Arizona,https://www.cbsnews.com/news/up-to-20-people-allegedly-attack-transgender-phoenix-teen-at-pool-party/
